muni_idx,prev_ESH,prev_AHA,diferencia_pp,cve_ent,cve_mun,nomgeo,suprimir_privacidad
1565,,,,20,028,Heroica Ciudad de Ejutla de Crespo,TRUE
1566,,,,20,039,Heroica Ciudad de Huajuapan de León,TRUE
1569,,,,20,067,Oaxaca de Juárez,TRUE
1592,0.578132976690471,0.312855661088676,-26.5277315601795,21,197,Xicotepec,FALSE
1598,,,,21,199,Xiutetelco,TRUE
1602,,,,21,132,San Martín Texmelucan,TRUE
1608,,,,21,102,Nealtican,TRUE
1620,,,,21,147,Santa Inés Ahuatempan,TRUE
1623,,,,21,066,Guadalupe,TRUE
1626,,,,21,065,General Felipe Ángeles,TRUE
1629,,,,21,148,Santa Isabel Cholula,TRUE
1632,,,,21,207,Zacapoaxtla,TRUE
1640,,,,21,055,Chila,TRUE
1654,,,,21,034,Coronango,TRUE
1666,,,,21,177,Tlacotepec de Benito Juárez,TRUE
1678,,,,21,085,Izúcar de Matamoros,TRUE
1695,,,,21,156,Tehuacán,TRUE
1735,,,,21,126,San Jerónimo Tecuanipan,TRUE
1751,,,,21,140,San Pedro Cholula,TRUE
1756,,,,21,115,Quecholac,TRUE
1757,0.675142590779619,0.525252255559097,-14.9890335220522,21,114,Puebla,FALSE
1758,,,,21,144,San Salvador Huixcolotla,TRUE
1763,,,,21,010,Ajalpan,TRUE
1774,,,,21,212,Zautla,TRUE
1780,,,,21,164,Tepeaca,TRUE
1785,,,,21,043,Cuetzalan del Progreso,TRUE
1792,,,,21,041,Cuautlancingo,TRUE
1798,,,,21,076,Hueytamalco,TRUE
1800,,,,21,071,Huauchinango,TRUE
1803,,,,22,002,Pinal de Amoles,TRUE
1805,,,,22,006,Corregidora,TRUE
1807,,,,22,011,El Marqués,TRUE
1808,,,,22,012,Pedro Escobedo,TRUE
1810,0.641080184390592,0.395066552583509,-24.6013631807083,22,016,San Juan del Río,FALSE
1812,,,,22,018,Tolimán,TRUE
1814,,,,22,001,Amealco de Bonfil,TRUE
1815,0.701245176281856,0.317957285742912,-38.3287890538944,22,014,Querétaro,FALSE
1817,,,,22,004,Cadereyta de Montes,TRUE
1819,0.751033090599057,0.391210110655302,-35.9822979943755,22,008,Huimilpan,FALSE
1821,,,,23,001,Cozumel,TRUE
1823,0.639367366115405,0.366995839367885,-27.237152674752,23,002,Felipe Carrillo Puerto,FALSE
1824,0.549776251902515,0.391895431800566,-15.7880820101949,23,005,Benito Juárez,FALSE
1825,0.580716545223813,0.396095047401914,-18.4621497821899,23,004,Othón P. Blanco,FALSE
1827,,,,23,008,Solidaridad,TRUE
1829,,,,23,007,Lázaro Cárdenas,TRUE
1830,,,,23,006,José María Morelos,TRUE
1831,,,,23,009,Tulum,TRUE
1832,,,,24,050,Villa de Reyes,TRUE
1833,,,,24,052,Villa Juárez,TRUE
1834,,,,24,053,Axtla de Terrazas,TRUE
1839,0.720666118744627,0.343471149758606,-37.7194968986021,24,013,Ciudad Valles,FALSE
1846,,,,24,008,Cerritos,TRUE
1848,0.723991934842458,0.450988329674968,-27.300360516749,24,035,Soledad de Graciano Sánchez,FALSE
1853,,,,24,037,Tamazunchale,TRUE
1856,0.778187305977821,0.535031209583218,-24.3156096394603,24,028,San Luis Potosí,FALSE
1865,,,,24,021,Mexquitic de Carmona,TRUE
1869,,,,24,033,Santo Domingo,TRUE
1876,,,,24,025,Salinas,TRUE
1882,,,,24,003,Aquismón,TRUE
1887,,,,24,020,Matehuala,TRUE
1890,,,,24,049,Villa de Ramos,TRUE
1891,0.631152563282086,0.369987108261291,-26.1165455020795,25,010,El Fuerte,FALSE
1892,,,,25,008,Elota,TRUE
1894,0.685517624203726,0.524398444318429,-16.1119179885297,25,018,Navolato,FALSE
1897,0.650281407214959,0.322201223426816,-32.8080183788144,25,001,Ahome,FALSE
1898,,,,25,002,Angostura,TRUE
1901,,,,25,009,Escuinapa,TRUE
1902,,,,25,004,Concordia,TRUE
1903,,,,25,005,Cosalá,TRUE
1904,0.631677383430462,0.470484536091948,-16.1192847338514,25,012,Mazatlán,FALSE
1905,,,,25,007,Choix,TRUE
1907,0.496072232752066,0.301214194260233,-19.4858038491833,25,015,Salvador Alvarado,FALSE
1908,0.69004699148908,0.343700901001057,-34.6346090488023,25,006,Culiacán,FALSE
1909,,,,25,017,Sinaloa,TRUE
1910,0.594212682157625,0.372271024128032,-22.1941658029592,25,011,Guasave,FALSE
1913,,,,26,033,Huatabampo,TRUE
1924,,,,26,041,Nacozari de García,TRUE
1925,0.512082147224398,0.363624145602485,-14.8458001621913,26,043,Nogales,FALSE
1928,,,,26,014,Baviácora,TRUE
1932,,,,26,029,Guaymas,TRUE
1933,,,,26,002,Agua Prieta,TRUE
1935,0.593372511709721,0.340618383850358,-25.2754127859363,26,055,San Luis Río Colorado,FALSE
1940,0.624214292753991,0.306897652101094,-31.7316640652897,26,030,Hermosillo,FALSE
1942,,,,26,025,Empalme,TRUE
1946,,,,26,035,Imuris,TRUE
1955,,,,26,048,Puerto Peñasco,TRUE
1966,0.716073969970185,0.572065502707121,-14.4008467263064,26,018,Cajeme,FALSE
1967,0.471692864827424,0.285346730979086,-18.6346133848338,26,047,Pitiquito,FALSE
1968,,,,26,019,Cananea,TRUE
1971,,,,26,042,Navojoa,TRUE
1983,0.615307557717585,0.387982734211063,-22.7324823506522,27,006,Cunduacán,FALSE
1984,,,,27,001,Balancán,TRUE
1985,,,,27,016,Teapa,TRUE
1988,,,,27,012,Macuspana,TRUE
1989,0.634284611944038,0.308915216828003,-32.5369395116035,27,002,Cárdenas,FALSE
1991,0.639159211680302,0.45902549657104,-18.0133715109262,27,004,Centro,FALSE
1992,0.695479739593765,0.411580407443335,-28.389933215043,27,005,Comalcalco,FALSE
1993,,,,27,007,Emiliano Zapata,TRUE
1994,0.653846826176267,0.452354962811172,-20.1491863365095,27,008,Huimanguillo,FALSE
1995,,,,27,009,Jalapa,TRUE
1996,,,,27,010,Jalpa de Méndez,TRUE
1997,,,,27,011,Jonuta,TRUE
1998,0.619789422805751,0.364936579946617,-25.4852842859135,27,013,Nacajuca,FALSE
2000,0.510888321493401,0.27121875430229,-23.9669567191111,28,003,Altamira,FALSE
2001,,,,28,041,Victoria,TRUE
2010,0.615640482067109,0.378639707447892,-23.7000774619217,28,038,Tampico,FALSE
2012,,,,28,007,Camargo,TRUE
2014,0.682999392258503,0.420154255490075,-26.2845136768428,28,032,Reynosa,FALSE
2015,,,,28,033,Río Bravo,TRUE
2016,,,,28,029,Ocampo,TRUE
2020,0.69150473088804,0.375932238408041,-31.5572492479998,28,022,Matamoros,FALSE
2023,,,,28,021,El Mante,TRUE
2026,,,,28,027,Nuevo Laredo,TRUE
2030,,,,28,016,Hidalgo,TRUE
2032,,,,28,017,Jaumave,TRUE
2038,,,,28,009,Ciudad Madero,TRUE
2042,,,,28,018,Jiménez,TRUE
2043,,,,29,019,Tepetitla de Lardizábal,TRUE
2046,,,,29,033,Tlaxcala,TRUE
2048,,,,29,004,Atltzayanca,TRUE
2051,,,,29,044,Zacatelco,TRUE
2056,,,,29,025,San Pablo del Monte,TRUE
2057,,,,29,058,Santa Catarina Ayometla,TRUE
2058,,,,29,014,Hueyotlipan,TRUE
2059,,,,29,028,Teolocholco,TRUE
2062,,,,29,015,Ixtacuixtla de Mariano Matamoros,TRUE
2066,,,,29,041,Papalotla de Xicohténcatl,TRUE
2067,,,,29,038,Tzompantepec,TRUE
2068,,,,29,023,Natívitas,TRUE
2072,,,,29,001,Amaxac de Guerrero,TRUE
2073,,,,29,006,Calpulalpan,TRUE
2076,,,,29,043,Yauhquemehcan,TRUE
2077,,,,29,013,Huamantla,TRUE
2078,,,,29,002,Apetatitlán de Antonio Carvajal,TRUE
2080,,,,29,018,Contla de Juan Cuamatzi,TRUE
2081,,,,29,003,Atlangatepec,TRUE
2084,,,,29,010,Chiautempan,TRUE
2085,,,,29,007,El Carmen Tequexquitla,TRUE
2088,0.668613179306213,0.35345638802168,-31.5156791284533,29,031,Tetla de la Solidaridad,FALSE
2089,,,,29,032,Tetlatlahuca,TRUE
