"muni_id","clues_total","clues_publico"
"21111",8,8
"21112",3,3
"21113",4,4
"21114",506,118
"21115",9,7
"21116",13,13
"21117",7,4
"21118",10,4
"21119",57,11
"21120",1,1
"21121",1,1
"21122",1,1
"21123",3,3
"21124",4,3
"21125",5,3
"21126",2,2
"21127",2,2
"21128",5,5
"21129",4,4
"21130",1,1
"21131",1,1
"21132",55,15
"21133",1,1
"21134",4,3
"21135",1,1
"21136",3,2
"21137",3,3
"21138",3,3
"21139",2,2
"21140",42,14
"21141",2,2
"21142",9,7
"21143",7,6
"21144",3,1
"21145",13,13
"21146",1,1
"21147",2,2
"21148",4,4
"21149",2,1
"21150",1,1
"21151",2,2
"21152",4,4
"21153",8,6
"21154",35,13
"21155",5,5
"21156",89,25
"21157",4,3
"21158",4,4
"21159",1,1
"21160",2,2
"21161",7,7
"21162",1,1
"21163",3,2
"21164",44,16
"21165",1,1
"21166",3,2
"21167",8,8
"21168",2,2
"21169",9,8
"21170",6,6
"21171",1,1
