"muni_id","clues_total","clues_publico","pob_adulta","clues_por_10k","clues_publico_por_10k"
"16031",10,9,9945,10.0553041729512,9.04977375565611
"16032",4,3,10062,3.97535281256211,2.98151460942159
"16077",10,10,11556,8.65351332641052,8.65351332641052
"16099",12,10,8756,13.7048880767474,11.4207400639561
"16001",5,2,7171,6.97252823873937,2.78901129549575
"16043",9,4,42664,2.10950684417776,0.937558597412338
"16044",8,5,8960,8.92857142857143,5.58035714285714
"16045",13,8,24230,5.36524969046636,3.30169211721007
"16012",10,9,27906,3.58345875438974,3.22511287895076
"16013",5,5,5345,9.35453695042095,9.35453695042095
"16021",4,4,8553,4.67672161814568,4.67672161814568
"16020",10,7,19095,5.2369730295889,3.66588112071223
"16019",8,6,13038,6.13591041570793,4.60193281178095
"16018",4,3,6085,6.57354149548069,4.93015612161052
"16087",5,4,9851,5.07562683991473,4.06050147193178
"16086",7,6,10132,6.90880378997236,5.92183181997631
"16072",7,4,8919,7.84841349927122,4.48480771386927
"16067",12,11,11329,10.5922852855504,9.70959484508783
"16022",11,9,16811,6.54333472131343,5.35363749925644
"16079",15,11,30262,4.95671138721829,3.63492168396008
"16078",6,5,8715,6.88468158347676,5.7372346528973
"16075",26,15,48915,5.31534294183788,3.06654400490647
"16076",16,6,50826,3.14799512060756,1.18049817022784
"16033",9,9,13488,6.67259786476868,6.67259786476868
"16035",17,16,18590,9.14470145239376,8.60677783754707
"16036",8,6,7924,10.0959111559818,7.57193336698637
"16037",7,6,5738,12.1993726036947,10.4566050888811
"16038",30,21,27401,10.9485055289953,7.6639538702967
"16039",5,4,5389,9.2781592132121,7.42252737056968
"16040",7,4,11606,6.0313630880579,3.44649319317594
"16041",6,5,9888,6.06796116504854,5.05663430420712
"16042",5,5,9367,5.33788833137611,5.33788833137611
"16049",13,10,10982,11.8375523584047,9.10580950646512
"16050",40,20,54546,7.33326000073333,3.66663000036666
"16051",5,4,9262,5.3984020729864,4.31872165838912
"16052",70,27,126210,5.54631170271769,2.13929165676254
"16053",266,90,579386,4.59106709516626,1.5533685660337
"16014",8,8,10476,7.63650248186331,7.63650248186331
"16015",10,8,11962,8.35980605249958,6.68784484199967
"16016",15,11,14397,10.418837257762,7.64048065569216
"16017",16,15,20856,7.67165324127349,7.1921749136939
"16083",11,10,19586,5.61625650975186,5.10568773613806
"16082",25,16,47682,5.24306866322721,3.35556394446542
"16081",6,6,5411,11.0885233783035,11.0885233783035
"16056",10,8,19470,5.13610683102209,4.10888546481767
"16080",10,10,11752,8.50918992511913,8.50918992511913
"16057",7,7,4746,14.7492625368732,14.7492625368732
"16034",36,21,77700,4.63320463320463,2.7027027027027
"16058",3,2,12823,2.33954612805116,1.55969741870077
"16059",8,8,5703,14.0277047168157,14.0277047168157
"16060",5,4,6264,7.98212005108557,6.38569604086845
"16062",7,6,12840,5.45171339563863,4.67289719626168
"16063",11,10,9923,11.0853572508314,10.0775975007558
"16064",7,7,16189,4.32392365186238,4.32392365186238
"16105",10,8,13326,7.5041272699985,6.0033018159988
"16065",13,9,24748,5.25294973331178,3.63665750767739
"16089",10,8,15618,6.40286848508132,5.12229478806505
"16061",6,6,13621,4.40496292489538,4.40496292489538
"16055",14,8,27832,5.03018108651911,2.87438919229664
"16054",9,8,5403,16.6574125485841,14.8065889320748
"16030",5,5,8466,5.90597684857075,5.90597684857075
"16029",6,6,7315,8.20232399179768,8.20232399179768
"16028",5,4,3720,13.4408602150538,10.752688172043
"16027",5,4,3465,14.4300144300144,11.5440115440115
"16026",7,7,2901,24.1296104791451,24.1296104791451
"16025",14,13,25067,5.58503211393466,5.18610124865361
"16024",6,5,12291,4.88162069807176,4.06801724839313
"16023",3,3,6929,4.32962909510752,4.32962909510752
"16066",37,19,61578,6.00863944915392,3.08551755497093
"16068",10,7,18001,5.55524693072607,3.88867285150825
"16069",32,11,70183,4.55950871293618,1.56733112007181
"16070",9,5,10636,8.46182775479503,4.70101541933058
"16071",35,21,44612,7.84542275620909,4.70725365372545
"16073",13,6,17606,7.38384641599455,3.40792911507441
"16091",5,4,9707,5.15092201504069,4.12073761203255
"16113",9,8,17573,5.12149319979514,4.5524383998179
"16112",50,30,98397,5.08145573543909,3.04887344126345
"16085",12,9,22609,5.30762085894998,3.98071564421248
"16088",22,12,72655,3.02800908402725,1.65164131856032
"16092",10,9,7634,13.0992926381975,11.7893633743778
"16093",11,9,17212,6.39089007669068,5.22891006274692
"16111",5,5,10878,4.59643316786174,4.59643316786174
"16101",8,8,5134,15.5823918971562,15.5823918971562
"16100",6,5,9525,6.2992125984252,5.249343832021
"16095",3,3,8270,3.62756952841596,3.62756952841596
"16084",10,7,19106,5.23395791897833,3.66377054328483
"16102",68,22,228680,2.97358754591569,0.962043029560959
"16103",10,8,15188,6.58414537792994,5.26731630234396
"16104",9,9,10734,8.38457238680827,8.38457238680827
"16094",7,6,4504,15.5417406749556,13.3214920071048
"16047",8,7,11915,6.71422576584138,5.8749475451112
"16046",5,4,9191,5.44010445000544,4.35208356000435
"16048",2,1,3606,5.54631170271769,2.77315585135885
"17002",6,5,16526,3.6306426237444,3.025535519787
"17006",75,20,127350,5.88928150765607,1.57047506870828
"17028",24,11,48647,4.93350052418443,2.2611877402512
"17022",5,3,8984,5.56544968833482,3.33926981300089
"17009",8,6,16046,4.98566620964726,3.73924965723545
"17016",6,6,12125,4.94845360824742,4.94845360824742
"17008",26,14,71605,3.63103135255918,1.9551707283011
"17003",16,10,24679,6.48324486405446,4.05202804003404
"17036",1,1,4835,2.06825232678387,2.06825232678387
"17035",4,2,17564,2.27738556137554,1.13869278068777
"17025",16,15,23094,6.92820646055252,6.49519355676799
"17001",8,8,11360,7.04225352112676,7.04225352112676
"17020",14,10,37152,3.76830318690784,2.6916451335056
"17034",1,1,7063,1.41582896786068,1.41582896786068
"17027",4,3,8066,4.95908752789487,3.71931564592115
"17030",15,11,35695,4.20226922538171,3.08166409861325
"17026",10,8,12783,7.82288977548306,6.25831182038645
"17031",16,7,25283,6.32836293161413,2.76865878258118
"17021",7,6,5172,13.5344160866203,11.6009280742459
"17019",12,10,18631,6.44087810638184,5.36739842198486
"17023",4,4,4920,8.13008130081301,8.13008130081301
"17017",19,10,26395,7.19833301761697,3.78859632506156
"17015",7,5,10432,6.7101226993865,4.79294478527607
"17013",8,7,11134,7.18519849110832,6.28704867971978
"17011",53,21,149427,3.54688242419375,1.40536850769941
"17010",6,5,11976,5.01002004008016,4.1750167000668
"17018",35,20,81095,4.31592576607682,2.46624329490104
"17029",33,16,70278,4.69563732604798,2.27667264293235
"17012",36,18,39932,9.0153260542923,4.50766302714615
"17024",17,12,34998,4.85742042402423,3.42876735813475
"17007",175,53,272940,6.411665567524,1.94181871473584
"17005",7,7,6439,10.8712533002019,10.8712533002019
"17004",22,17,57947,3.79657273025351,2.93371529155953
"17014",3,2,6480,4.62962962962963,3.08641975308642
"17032",4,4,6646,6.01865783930184,6.01865783930184
"17033",5,4,10777,4.63951006773685,3.71160805418948
"18001",34,25,24212,14.0426234924831,10.3254584503552
"18009",55,55,21787,25.2444118052049,25.2444118052049
"18010",26,25,21841,11.9042168398883,11.4463623460464
"18011",15,12,14995,10.0033344448149,8.00266755585195
"18017",151,72,286167,5.27663916524267,2.51601337680445
"18018",18,12,20625,8.72727272727273,5.81818181818182
"18019",21,21,7624,27.5445960125918,27.5445960125918
"18004",45,33,50515,8.90824507572008,6.53271305552806
"18013",7,7,5302,13.202565069785,13.202565069785
"18008",21,15,41791,5.02500538393434,3.5892895599531
"18005",14,14,6458,21.6785382471353,21.6785382471353
"18006",19,12,18939,10.0322086699403,6.33613179154126
"18007",13,12,11383,11.4205394008609,10.5420363700255
"18014",16,15,16159,9.9016028219568,9.2827526455845
"18015",50,43,62715,7.97257434425576,6.85641393605995
"18016",27,21,25220,10.7057890563045,8.32672482157018
"18003",13,13,7807,16.6517228128603,16.6517228128603
"18012",25,25,27293,9.15985783900634,9.15985783900634
"18020",56,30,117901,4.74974766965505,2.54450768017235
"18002",12,11,10417,11.5196313717961,10.5596620908131
"19029",5,4,4788,10.4427736006683,8.35421888053467
"19048",53,16,208260,2.54489580332277,0.76827043119178
"19044",23,18,23890,9.62745918794475,7.53453327752198
"19042",5,5,3882,12.8799587841319,12.8799587841319
"19023",1,1,1354,7.38552437223043,7.38552437223043
"19022",12,11,9836,12.2000813338756,11.1834078893859
"19047",5,4,10768,4.64338781575037,3.7147102526003
"19049",21,15,32595,6.44270593649333,4.60193281178095
"19009",41,22,80799,5.07432022673548,2.72280597532148
"19032",6,6,3488,17.2018348623853,17.2018348623853
"19031",47,13,288883,1.62695624180031,0.450009173263917
"19027",1,1,1470,6.80272108843537,6.80272108843537
"19020",4,3,3612,11.0741971207087,8.30564784053156
"19041",17,6,90298,1.88265520831026,0.664466544109504
"19040",2,2,663,30.1659125188537,30.1659125188537
"19039",390,121,826865,4.71661032937662,1.4633585893707
"19046",109,20,316445,3.44451642465515,0.632021362322047
"19019",66,9,97239,6.78740011723691,0.925554561441397
"19037",2,2,3834,5.21648408972353,5.21648408972353
"19010",14,8,62201,2.25076767254546,1.28615295574026
"19021",76,20,309836,2.45291057204457,0.645502782116991
"19012",7,4,41725,1.67765128819652,0.958657878969443
"19002",5,5,2495,20.0400801603206,20.0400801603206
"19005",9,9,11534,7.80301716663777,7.80301716663777
"19024",8,8,3823,20.9259743656814,20.9259743656814
"19026",180,69,465389,3.86773215525077,1.48263065951279
"19003",0,0,1023,0,0
"19004",14,9,23656,5.91816029759892,3.80453161988502
"19025",12,5,61743,1.94354015839852,0.809808399332718
"19015",1,1,973,10.2774922918808,10.2774922918808
"19007",17,16,9761,17.4162483352116,16.3917631390226
"19018",34,7,239002,1.42258223780554,0.292884578371729
"19051",4,4,2546,15.7109190887667,15.7109190887667
"19006",106,29,432132,2.45295418992345,0.671091240639434
"19011",6,6,4993,12.0168235529742,12.0168235529742
"19001",1,1,1897,5.27148128624143,5.27148128624143
"19017",38,37,25812,14.7218348055168,14.3344181001085
"19016",2,2,2160,9.25925925925926,9.25925925925926
"19050",4,4,1119,35.7462019660411,35.7462019660411
"19034",1,1,3335,2.99850074962519,2.99850074962519
"19035",1,1,1072,9.32835820895522,9.32835820895522
"19028",1,1,932,10.7296137339056,10.7296137339056
"19033",43,30,56259,7.6432215289998,5.33248013651149
"19036",8,8,4407,18.1529385069208,18.1529385069208
"19043",4,4,1627,24.5851259987707,24.5851259987707
"19014",47,47,21934,21.4279201240084,21.4279201240084
"19038",32,20,45455,7.03992960070399,4.39995600044
"19008",1,1,2445,4.08997955010225,4.08997955010225
"19013",9,5,6827,13.182950051267,7.32386113959279
"19045",16,10,53687,2.98023730139512,1.86264831337195
"19030",6,6,2165,27.7136258660508,27.7136258660508
"20125",12,12,6973,17.2092356231177,17.2092356231177
"20481",2,2,1272,15.7232704402516,15.7232704402516
"20517",1,1,3450,2.89855072463768,2.89855072463768
"20524",1,1,261,38.3141762452107,38.3141762452107
"20378",3,3,2327,12.8921357971637,12.8921357971637
"20054",1,1,283,35.3356890459364,35.3356890459364
"20542",1,1,603,16.5837479270315,16.5837479270315
"20237",1,1,1037,9.64320154291225,9.64320154291225
"20489",3,3,2911,10.3057368601855,10.3057368601855
"20544",2,2,710,28.169014084507,28.169014084507
"20490",1,1,1671,5.98444045481747,5.98444045481747
"20333",2,2,2270,8.81057268722467,8.81057268722467
"20334",21,20,31760,6.61209068010076,6.29722921914358
"20562",1,1,1064,9.3984962406015,9.3984962406015
"20133",3,3,2391,12.5470514429109,12.5470514429109
"20134",7,7,15894,4.40417767711086,4.40417767711086
"20138",1,1,332,30.1204819277108,30.1204819277108
