"muni_idx","prev_ESH","prev_AHA","diferencia_pp","cve_ent","cve_mun","nomgeo"
788,0.661033344636406,0.326804960608162,-33.4228384028243,"15","033","Ecatepec de Morelos"
789,0.710314383173299,0.393620780888149,-31.6693602285151,"15","013","Atizapán de Zaragoza"
792,0.622841090047112,0.424561733198003,-19.827935684911,"15","009","Amecameca"
793,0.541114965674678,0.361636784007329,-17.9478181667349,"15","031","Chimalhuacán"
795,0.556101851656452,0.309812940280181,-24.6288911376271,"15","095","Tepotzotlán"
802,0.644981346501973,0.464138814174743,-18.0842532327229,"16","006","Apatzingán"
809,0.537411901028391,0.311420075484021,-22.599182554437,"16","107","Zacapu"
819,0.66940920214808,0.481748566675014,-18.7660635473067,"16","099","Tuzantla"
821,0.549505983267199,0.292680302867604,-25.6825680399595,"16","043","Jacona"
824,0.546020428237134,0.364293279473754,-18.1727148763381,"16","012","Buenavista"
828,0.650853487949647,0.401750076990053,-24.9103410959595,"16","019","Cotija"
837,0.685616895155025,0.467400085427545,-21.8216809727479,"16","075","Los Reyes"
839,0.642796474321977,0.403596364776485,-23.9200109545492,"16","033","Gabriel Zamora"
850,0.640626060861639,0.455077947284244,-18.5548113577395,"16","051","Marcos Castellanos"
851,0.764865107319613,0.403537705679751,-36.1327401639863,"16","052","Lázaro Cárdenas"
852,0.608129971429794,0.384419604227348,-22.3710367202447,"16","053","Morelia"
854,0.57269525563156,0.301020289714034,-27.1674965917526,"16","015","Coalcomán de Vázquez Pallares"
858,0.665174335011485,0.462109888580079,-20.3064446431406,"16","082","Tacámbaro"
867,0.704255045330934,0.476484611953263,-22.7770433377671,"16","062","Pajacuarán"
873,0.479194571014,0.26756545286779,-21.162911814621,"16","061","Ocampo"
877,0.616807581212547,0.418971391654427,-19.7836189558119,"16","029","Churumuco"
883,0.517265031601133,0.320444324729742,-19.6820706871391,"16","023","Chavinda"
885,0.565021105775748,0.334931423597089,-23.0089682178659,"16","068","Peribán"
886,0.602342630832205,0.366450181873472,-23.5892448958733,"16","069","La Piedad"
889,0.569535844026137,0.36291166388969,-20.6624180136447,"16","073","Quiroga"
894,0.737433556076405,0.555320651566515,-18.211290450989,"16","088","Tarímbaro"
902,0.624085611179243,0.367819656130267,-25.6265955048976,"16","102","Uruapan"
906,0.677935936212948,0.481139686465421,-19.6796249747527,"16","047","Jungapeo"
910,0.561762863839093,0.358834135597499,-20.2928728241594,"17","006","Cuautla"
911,0.638410924925501,0.482794300527413,-15.5616624398088,"17","028","Xochitepec"
915,0.713330303740026,0.556725708049582,-15.6604595690444,"17","008","Emiliano Zapata"
916,0.687558355605315,0.453938935495623,-23.3619420109691,"17","003","Axochiapan"
917,0.606420665386392,0.394378943481645,-21.2041721904748,"17","036","Hueyapan"
919,0.622910173883336,0.466982461700755,-15.5927712182581,"17","025","Tlaquiltenango"
