"muni_idx","n","prev_sin","prev_con","dif_pp","quintil_sin","quintil_con","cambia_quintil"
917,1,0.839792701979041,0.830543165740301,-0.924953623873948,3,3,FALSE
919,2,0.881648746741337,0.870935087093479,-1.07136596478578,4,4,FALSE
921,5,0.642792584813013,0.711160613233616,6.83680284206031,1,1,FALSE
926,7,0.831432846566438,0.814766852670501,-1.6665993895937,3,3,FALSE
928,10,0.861064024531016,0.89106824105321,3.00042165221938,4,4,FALSE
931,2,0.811885848729524,0.860940582356542,4.90547336270182,2,3,TRUE
933,21,0.795258521122494,0.840073876774826,4.4815355652332,2,3,TRUE
934,1,0.859807933825158,0.850869879581517,-0.89380542436408,4,3,TRUE
935,5,0.803509243154347,0.776091627473381,-2.74176156809659,2,2,FALSE
936,9,0.778191296244186,0.776994874386078,-0.119642185810809,2,2,FALSE
937,2,0.670276311799042,0.673050010567882,0.277369876884037,1,1,FALSE
938,5,0.826974586534986,0.826963039780205,-0.00115467547808779,3,3,FALSE
939,25,0.785519830553978,0.826105064642481,4.0585234088503,2,3,TRUE
940,1,0.464845544352903,0.483588976143581,1.87434317906774,1,1,FALSE
941,10,0.786155985862131,0.761942259719656,-2.4213726142475,2,2,FALSE
943,2,0.83331462754236,0.862261543404582,2.8946915862223,3,3,FALSE
948,6,0.863879048443753,0.875568158787074,1.16891103433213,4,4,FALSE
949,38,0.901146948018952,0.899077076578976,-0.20698714399765,5,4,TRUE
952,3,0.881652845248867,0.882857065834671,0.120422058580427,4,4,FALSE
953,3,0.890447020810159,0.863313806793985,-2.71332140161745,4,4,FALSE
954,8,0.770604264242005,0.678595985285442,-9.20082789565623,2,1,TRUE
956,16,0.897474543664032,0.916232242467799,1.87576988037675,5,5,FALSE
957,1,0.873486496227479,0.841187209239504,-3.22992869879749,4,3,TRUE
958,10,0.910454362525652,0.862821942970828,-4.76324195548239,5,4,TRUE
959,8,0.84433458427597,0.816531731930899,-2.78028523450704,3,3,FALSE
960,2,0.827395359615628,0.767341165180975,-6.00541944346538,3,2,TRUE
963,7,0.86784521174695,0.88990319022616,2.20579784792109,4,4,FALSE
964,3,0.852186806675555,0.79927281902751,-5.29139876480452,3,2,TRUE
966,12,0.891259498638925,0.864360865267939,-2.68986333709856,4,4,FALSE
967,4,0.875413998776811,0.908143542812685,3.27295440358735,4,5,TRUE
